ID,name,phones,locations,description,taxonomy,taxonomy_specific_attributes,program,email,holiday_schedule,regular_schedule,service_area,eligibility,languages,required_documents,recertification_time,grace_period
rec54XuiUj8PG4UfO,Breakfast,,recroG8ogZoxpzaGo,Full hot meal served five of seven days for the community. All are welcome,Soup Kitchen,,,,,119,,Everyone,Spanish,,,
recMMD8shdqDdMQLR,Breakfast Program,,recVYfhnHMw8E9JrL,"Hearty, hot breakfasts are offered to the community free of charge. Church hall door opens at 6:00 AM",Soup Kitchen,,,,,118,,Everyone,Spanish,,,
rectEdqdmYJL9qDSG,Breakfast Program,,recYtN4Io4lL5gCkO,"Brown bag take-away sandwiches, coffee, and soup, provided every morning. Lineup for service at Rectory door (center of the block)",Soup Kitchen,,,,,116,,,,,,
recPd7jk5KGLNyWLf,Brown Bag,,,"Brown bag take-away containing a sandwich, snack, and drink. Also available on public holidays.",Brown Bag,,,,,26,,,,,,
recS6KLLPBaNdBtVM,Brown Bag,,recJVfwcOraqdyutb,Brown bag take-away meal available at the Sunday Soup Kitchen,Soup Kitchen,,,,,48,,Everyone,,,,
recegsDzcR0xScIvV,Brown Bag,,recm2WS38Y0dawyt8,Brown bag meal available twice weekly during the soup kitchen. All are welcome.,Soup Kitchen,,,,,"130,129",,Everyone,,,,
recuiTCuAzgoV83KI,Brown Bag,(917) 720-9700,recoyKfe64K15Ri43,"Brown bag meal containing a sandwich, snack, and drink available for everyone at the Help 365 window. Initials and d.o.b. requested, no ID required.",Soup Kitchen,,NY Common Pantry Help 365,,4,92,,Everyone,"Chinese,Spanish",,,
recLPGfeBJorp4erD,Brown Bag,,recumQhND3CHLKJzi,Brown bag snack meal available most hours from lobby reception,Soup Kitchen,,,,,149,,"Youth,LGBTQ+",,,,
recKYIOEPuqpD4hE1,Brown Bag,,recx6dxIW7fajJ4W0,Brown bag take-away lunch available twice weekly. All are welcome.,Soup Kitchen,,,,,"120,121",,Everyone,,,,
recpTj3gCwgYeYt1h,Brown Bag Lunch Ministry,,recqYdR8sxBg6m3r4,Brown bag takeaway lunches served seven days a week to the local community from St. Paul's Chapel entrance on Broadway,Soup Kitchen,,,,,"161,162",,,,,,
recgClWsfpovtqIDl,Brown Bag Lunch Program,,recsn1jnHZxrmiUC4,More than a hundred brown bag meals distributed around Penn Station,Brown Bag,,,,,,,"Everyone,P.S. 33 Students",,,,
recGQ8ezEQI7PnFQW,Caseworker services,(917) 423-2701,recgqNva4ggxtHD9J,"Help offered in getting ID, birth certificate. Legal, immigration and rent assistance referrals available. Food stamps assistance available.",Other services,,,,,91,,Everyone,Spanish,,,
reckN1bCfO8M5t8k4,Choice Pantry,"(917) 423-2702,(917) 423-2701",recgqNva4ggxtHD9J,"Available once every 2 weeks. Choose culturally appropriate, nutritionally balanced food packages in advance via the website, or on-site. Emergency grocery bag available until pantry registration complete.",Pantry,,NY Common Pantry Choice Pantry,,,50,,,Spanish,"Some form of ID,ID for all children in household",1 year,2 weeks
recl1zxRCYePkojVB,Choice Pantry,(917) 720-9700,recoyKfe64K15Ri43,"Choose culturally appropriate, nutritionally balanced food packages in advance via the website or order on-site. Times published here are sign-up times. Grocery pickup is available Wednesday through Saturday, after sign-up. ",Pantry,,NY Common Pantry Choice Pantry,,,"19,160",,Adults over 18,"Spanish,Chinese","Proof of Address,Photo ID,ID for all children in household",1 year,
recJi0kMxyfeDbMh3,Christmas Lunch,,rec2MHCmTnfsWHtsK,Annual Christmas Meal service,Soup Kitchen,,,,5,,,Everyone,,,,
recM2IhEWixMiooTt,Client Choice Pantry (Fransicans Deliver),,rec4DydDdSPlbWrKX,"Weekly pantry and delivery service to the local poor, elderly, shut-ins, and anyone who has difficulty accessing services. Choice of grocery items, packed and delivered.",Pantry,,,,,,,,,,,
reca27GxepD6yYB53,Client-Choice Pantry Distribution,,recmt5fh67pUunIHD,"Grocery store style food pantry, open to all",Pantry,,Sylvia Rivera Food Pantry,,,70,,Everyone,,,,
recEgWS3jrX8FCdGG,Clothing,(718) 852-2584,recCkQ0AUnjy8d88o,Clothes available to members. Call to check availability.,Clothing pantry,attire_type-casual,,,,,,Client of the organization,,,,
recn2z2w3pC3vF4mz,Clothing,,recGQTSRE1KF9egNU,Free clothing for people who are homeless. Call to check on availability.,Clothing pantry,attire_type-casual,,,,38,,Client of the organization,Spanish,,,
recPpJf2oxmURWd9k,Clothing,,recIKPCtvEqVyzbX0,"Casual and professional attire available weekly. Come early – first come, first serve. Clothing distributed on the lower level.",Clothing pantry,"attire_type-prof,attire_type-casual",,,,52,,Everyone,,,,
rec3RHchOMG2pw4Cr,Clothing,,reckuFvar3hEeOngF,Clothing for men. Arrive early to receive a ticket. Referral required Mon. No referral required Tue and Fri.,Clothing pantry,attire_type-casual,,,,"6,9",,Men,,Referral Letter (Monday's only),,
recxMOiLMB8zMEf95,Clothing,,recq3G9kKw4rcOYZe,Very limited availability (dependent on donations) for clients who have been through intake,Clothing pantry,attire_type-casual,,,,,,Client of the organization,Spanish,,,
recD9W1M3e6ToBAgX,Clothing,,recqilX4P16x2hoSX,Men's clothing,Clothing pantry,attire_type-casual,,,,8,,Men,,,,
recl0R2gjw8kt5VZw,Clothing,,recUTiDcGzolOkyAJ,Clothing for women and children,Clothing pantry,clothing_wearer-children,,,,5,,Women,,,,
recisZAAsTujMUeeN,Clothing,,recvGyWgWhzZYecLw,Weekly free clothing for the community,Clothing pantry,attire_type-casual,,,,54,,Everyone,,,,
recLTigGMaBhlVYgG,Clothing (all),,rec3hjFAAdMkNLDit,Free clothing for men and women.,Clothing pantry,attire_type-casual,,,,67,,"Women,Men","Spanish,Chinese",,,
recJYNtgJ8ys910oc,Clothing (women),,rec3hjFAAdMkNLDit,Free clothes for women only. Line at 10:30 am.,Clothing pantry,attire_type-casual,,,,11,,Women,"Spanish,Chinese",Referral Letter,,
recRrytLYblehq7vf,Clothing Bank,,recLF1KLvdQ1WuUCP,Free casual and interview clothing available first Monday of each month. Early morning lineup recommended.,Clothing pantry,"attire_type-casual,attire_type-prof",,,,143,,Everyone,,Referral Letter,,
recbMzQqyfyDNfYvk,Clothing Closet,(212) 473-0044,recEUy30BC9tDITz3,Free daily clothes. Referral required for work clothing from back-to-work agency or equivalent.,Clothing pantry,"attire_type-prof,attire_type-casual",,,,18,,,,Referral Letter,,
recehFjubnVFpkrJM,Clothing Closet,,recJVfwcOraqdyutb,The Clothing Closet distributes emergency everyday and appropriate clothing for individuals returning to the workforce. One visit per month per person.,Clothing pantry,"attire_type-casual,attire_type-prof",,,,46,,Everyone,,"Photo ID,Referral Letter",,
recPoKBzqw1onX8C5,Clothing Closet,,recmt5fh67pUunIHD,"Free clothes available during lunch programs, drop-in clinic and for overnight guests",Clothing pantry,attire_type-casual,Sylvia Rivera Food Pantry,,,68,,"LGBTQ+,Youth","Spanish,Mandarin",,,
recx4IFcHKFeMGT3R,Clothing Closet,,recumQhND3CHLKJzi,Clothes available to clients who have been through intake,Clothing pantry,attire_type-casual,,,,22,,"LGBTQ+,Client of the organization,Youth",,,,
recKqP18PkRpXe0SI,Clothing Closet (Drop-in),,recmt5fh67pUunIHD,Free clothing selection for guests of the evening Drop-in clinic,Clothing pantry,attire_type-casual,Drop-in clinic,,,89,,"Youth,LGBTQ+","Spanish,Mandarin",,,
recL0HraT0ZQM7GHW,Clothing Distribution,,rec2LHRPcHIlB4m3c,Casual clothing distribution takes place at the Food Pantry.,Clothing pantry,attire_type-casual,,,,55,,,,,,
recw0V7nYxr2vZmV7,Clothing Distribution,,recIptA0rGHybbjBr,Weekly clothing distribution for job attire and casual wear. Call prior to coming.,Clothing pantry,"attire_type-casual,attire_type-prof",,,,155,,Everyone,,Referral Letter,,
recERweeCBVaT3Ngl,Clothing Rooms,,rec0jo2Y61YT0fpy5,"Clothes for men, women, and children. Daily wear, work, and interview wear, as well as accessories and items such as sleeping bags.",Clothing pantry,clothing_wearer-children,,,,"30,32,31",,"Women,Men,Children",Spanish,Referral Letter,,
recZHRBOckz3DWP2X,Cocaine Anonymous,,recGdV0qKLaXQTYFg,Recovery group held every week on the 5th flr of the Church building,Support,,,,,136,,Everyone,,,,
rec1RcdLM92bO782c,Community Dinner,,recmt5fh67pUunIHD,Last Tuesday of each month only. Sit down homemade hot meal open to all.,Soup Kitchen,,Sylvia Rivera Food Pantry,,,71,,,,,,
recSbchpRz7bTeZnp,Community Kitchen,,recx6dxIW7fajJ4W0,Sit down Hot meal served twice weekly. All are welcome.,Soup Kitchen,,,,,"120,121",,Everyone,,,,
rec7lg9ufLJmum1VB,Computer Skills Building,,recOjQn71FvFIn1CY,Computer instruction conducted by volunteers with information technology experience provide our guests the opportunity to hone their computer skills and build their computer literacy. Free WiFi provided,Other services,,,,,"114,115",,Everyone,,,,
recFIEmo5IL3hqUMA,Crossroads Food Pantry,(212) 378-0234,recXi1fI7j8ReIhGS,"Grocery style choice pantry, from a selection of fresh fruits, vegetables, meats, non-meat proteins, grains and much more. Family size determines the amount of food each family can choose. Please bring identification with address for each member of your family, and a Con Edison bill or other proof that you have access to cooking facilities.",Pantry,,,pantry@crossroadsnyc.org,,,,Adults over 18,,"Proof of access to cooking facilities,Proof of Address,ID for all children in household,Photo ID",,
recuyPH0F88BJBpJv,Customer-Choice Food Pantry,,rec1i8Kdcc0D0amvG,"Second Saturday of each month only. Shopping-style grocery pantry environment, including women’s and children’s clothing and household linens. Assistance with benefit programs, health insurance, obamaphone and referrals to other services available. Two families living in the same apartment will be considered one household and must all register together. Doors at 9 am, pantry at 9.30 am.",Clothing pantry,,,,,44,"""10001,10002,10003,10009,10010,10011,10012,10013,10014,10016""",,"Spanish,English","Photo ID,ID for all children in household,Referral Letter",6 months,
recP0wfmQPBksRnSZ,Customer-Choice Food Pantry,,rec1i8Kdcc0D0amvG,"Second Saturday of each month only. Grocery shopping-style pantry environment, also offering women’s and children’s clothing and household linens. Assistance with benefit programs, health insurance, obamaphone and referrals to other services available. Two families living in the same apartment will be considered one household and must all register together. Doors at 9 am, pantry at 9.30 am.",Pantry,,,,,44,"""10001,10002,10003,10009,10010,10011,10012,10013,10014,10016""",,"Spanish,English","Photo ID,ID for all children in household,Referral Letter",6 months,
recTUdfsFaTBKDNIi,Debtors Anonymous,,rec0NYGOMsh9HA2EN,Debtors Anonymous offers hope for people whose use of unsecured debt causes problems and suffering. Meets in the Gray Lounge.,Support,,Twelve-step programs,,,86,,,,,,
recw1ws7xTVpKJQpg,Dinner,(917) 720-9700,recoyKfe64K15Ri43,Free hot meal served on the lower level. Everyone is welcome,Soup Kitchen,,NY Common Pantry Hot Meals ,,,23,,Everyone,,,,
recCMBIMJwv6zqeAD,Dinner,,rec3hjFAAdMkNLDit,Free hot dinner for everyone,Soup Kitchen,,,,,15,,Everyone,,,,
recCNXKPYVJCzVfHi,Dinner,,recGQTSRE1KF9egNU,Free dinner for people who are homeless,Soup Kitchen,,,,,41,,,Spanish,,,
recILfRPcjqWwh5o6,Dinner,,reckuFvar3hEeOngF,Free hot dinner seven days a week,Soup Kitchen,,,,,13,,,,,,
reciLuo5Uz4F9n99l,Dinner,,recq3G9kKw4rcOYZe,Hot dinner available to clients who have done intake,Soup Kitchen,,,,,,,Client of the organization,Spanish,,,
recpI0Hh75OdKhyur,Dinner,,recumQhND3CHLKJzi,Hot meal available to clients who have been through intake,Soup Kitchen,,,,,72,,"Client of the organization,Youth,LGBTQ+",,,,
recdhpPi3mOk3AdKj,Dinner Program,,recXi1fI7j8ReIhGS,"Dinner to-go, from donated & rescued food from local hotels and restaurants. All are welcome.",Soup Kitchen,,,,,158,,Everyone,,,,
recWceYnBVuDQPoJ3,Distribución de alimentos. Food distribution (Spanish speakers only),,recM6imMRRIHhOL6R,"Comestibles semanales gratuitos disponibles para la comunidad de habla española. Traiga carro de compras, si es posible.
(Free weekly groceries available to the Spanish speaking community. Bring shopping cart, if possible).",Pantry,,,,,61,,Spanish language only,Spanish,ID preferred but not immediately required,,Pantry available while ID being obtained
recmuFBPw2TSNQSoo,Emergency Clothing Distribution,,recOjQn71FvFIn1CY,Meatloaf Kitchen has a small clothing store where all the items are free of charge where we have available a broad array of clothes suitable to wear on a job interview to more casual attire,Clothing pantry,,,,,"115,114",,Everyone,,,,
recWlfsg1FWyDT9zO,Emergency Food Pantry,,rec1i8Kdcc0D0amvG,"Pre-packaged bags of groceries – once per household every six months – are provided on an emergency basis during the week at the reception desk of the Church.

ID for head of household always required. ID for all members of the household required only if household is 6 people or more. Referrals offered to other local food pantries.",Pantry,,,,3,43,,Everyone,"Spanish,English","Photo ID,ID for all children in household",,
recmiFDWbw2Qv0F3G,English Classes (ESL),(212) 288-8920,recGdV0qKLaXQTYFg,Winter and Spring semester Sunday afternoon for all those wishing to learn English. Please call for further information. Classes held on the 5th flr of the Church building,Education,,,lgp@mapc.com,,"135,138",,,,,,
rec7n08u3Lmj9KeaB,Food Bank Guest Choice Pantry Bags,,recOjQn71FvFIn1CY,"Supermarket-style selection of fresh fruits, vegetables and whole grains for lunch guests",Pantry,,,,,"115,114",,Everyone,,,,
rec8RwvooIHDHZX76,Food distribution,,recM6imMRRIHhOL6R,"Free groceries distributed three times weekly. 1 visit per week per household. Bring a shopping cart, if possible.",Pantry,,,,,"62,94,95",,Everyone,,ID preferred but not immediately required,,Service available while ID is being obtained
recTXTQn5SsKX0oWt,Food Pantry,,rec4lIFEER6wDrKDB,Food Pantry available to low income residents of East Harlem. one pantry available per month per client. Call for appointment to become a client.,Pantry,,,,,125,"""10029,10035""",,,"Some form of ID,Proof of Benefits",,1 month
recppEZlVglwLpaNI,Food Pantry,,rec9yUFct7fh5s5NZ,"Weekly fresh greens, grains, beans and more",Pantry,,,,,152,,Adults over 18,Spanish,Some form of ID,,
rechx22tQoKbzfthY,Food Pantry,,recaSwjRw0tuZm182,"Staples and fresh vegetables. Select items in person, or ahead of time through the Plentiful App https://www.plentifulapp.com/families",Pantry,,,,,"30,32,31",,,,,,
rectA4bgq4KM1tpm4,Food Pantry,,recd2YCN3sih3eR0O,"Client choice groceries, depending on availability. Suggested to arrive by 10.30 to be on line. Doors open at 11. One Pantry visit per person, per month. ID required for individuals or head of household, but not for partners or children in household.",Pantry,,,,,27,,Everyone,,Photo ID,,Pantry available without ID one time. Call to confirm.
recPvzCedy0qQOhSh,Food Pantry,,receyEbTVLYnbAIVh,"Saturdays EXCEPT first Saturday of the month. Supplying emergency and supplemental food in grocery bags, during the soup kitchen",Pantry,,,,,150,,,,,,
recn7yX4u43hWXP0b,Food Pantry,,reciBhZFheNLlrzDY,"Food pantry serving local residents, open five days a week. One pantry visit per month per household. Walk-in service available. Proofs required.",Pantry,,,,,"126,127","""10027,10030,10031,10032,10033,10034,10037,10039,10040""",,,"Proof of Address,Some form of ID",,
rece06nTrTonfm0b1,Food Pantry,,recIptA0rGHybbjBr,"Weekly food pantry, distributing perishable and non-perishable items. Bring your own shopping cart or bags. No ID required. Line forms early.",Pantry,,,,,153,,Everyone,,,,
recIqVWDqZfokwENH,Food Pantry,(212) 687-5030,recx6dxIW7fajJ4W0,Three-day emergency supply of both fresh produce and shelf-stable groceries. Participants must live in Manhattan and can utilize the pantry once a month.,Pantry,,,,,122,,,,Some form of ID,,
rec5XhLvg1nTTUn6m,Food Pantry,,rec2LHRPcHIlB4m3c,The supermarket style Food Pantry distributes groceries twice a week to clients.,Soup Kitchen,,,,,57,,,,,,
reclhpTKsBQxWvRPD,Food Pantry,,recvGyWgWhzZYecLw,Weekly free groceries for families in the community,Soup Kitchen,,,,,53,,,,,,
recw5ld5qdyDmc0rF,Free lunch in the park,(212) 473-0044,recvCp1ArOjkqkD9J,"Each Saturday, except the first Saturday of the month, brown bag lunches and basic seasonal necessities provided to those in need in our community. All are welcome.",Soup Kitchen,,,,,34,,Everyone,,,,
recCxy92erVmOuc18,Friday Dinner,,recrbc5Ub3d6qoKFh,Sept-June weekly restaurant-style meal service in the Church's Coburn Hall. 90 person capacity.,Soup Kitchen,,,fstf305@att.net,,133,,Everyone,,,,
rec9JjLuHGRk0Yhxb,Friday Soup Kitchen,,rec6rmcoi4nS62zcO,Restaurant-style hot meal with waiter service. Serving guests for 40+ years,Soup Kitchen,,,,,111,,Everyone,,,,
reciLwuKSovjebPa3,Guest as Volunteer Experience (GAVE),,recOjQn71FvFIn1CY,Meatloaf Kitchen welcomes volunteers from among our guests in our Guest As Volunteer Experience a.k.a. GAVE Program. Providing value through giving back and gaining experience beneficial to seeking employment.,Other services,,,,,"114,115",,Everyone,,,,
recQUela2u7SwZ1si,Haircut,,rec2LHRPcHIlB4m3c,Free haircuts available to the community during the Barber Training Program semesters,Haircut,,,,,59,,,,,,
recGk9d7TwUjopD1J,Haircut,(917) 720-9715,recoyKfe64K15Ri43,"Free haircut for anyone. First come, first serve.",Haircut,,Project Dignity at NY Common Pantry,,,51,,,,,,
recfgPSxeNyCb2jQ7,Haircuts,,recvwFXX2sXXFiUBh,"Free haircuts available, go with clean hair. Institute reserves the right to refuse service.",Haircut,,,,,,,,,Referral Letter,,
recQWPFINEENCjwbn,Hot Lunch Program,,recmt5fh67pUunIHD,Hot food available for all. To go trays available if required.,Soup Kitchen,,Sylvia Rivera Food Pantry,,,68,,,"Spanish,Mandarin",,,
rec1zSZSiaf8Y8JFO,Hot meal (Drop-in),,recmt5fh67pUunIHD,Free hot meal available for guests of the evening Drop-in clinic.,Soup Kitchen,,Drop-in clinic,,,89,,"Youth,LGBTQ+","Spanish,Mandarin",,,
rec5pfkntUYxCnKr4,Hot meal (Overnight guests),,recmt5fh67pUunIHD,Hot meal available for overnight guests who have completed intake,Soup Kitchen,,Overnight services,,,93,,"LGBTQ+,Youth,After Intake","Spanish,Mandarin",ID preferred but not immediately required,,"Ongoing, if working on getting ID"
recDktJF2YtfY9upS,Kids Corner Literacy,,recOjQn71FvFIn1CY,“Kids Corner” is both a lending library and a book give-away. Families can gather with their children and engage in storytelling and book reading as well as eat a home-style cooked meal served in a family-friendly setting,Other services,,,,,"114,115",,"Children,Families with children",,,,
recQOrs9bjpbR1w0I,Laundry,,rec2LHRPcHIlB4m3c,Clothing is laundered while guests take showers.,Laundry,,,,,,,,,,,
recUYmW1GCXzA20QZ,Laundry,,recmt5fh67pUunIHD,"Laundry available to guests of the evening Drop-in clinic. First come, first serve.",Laundry,,Drop-in clinic,,,89,,"LGBTQ+,Youth","Spanish,Mandarin",,,
rec0cRmQ09eN2ldRG,Laundry,(917) 720-9715,recoyKfe64K15Ri43,"Sign up for laundry must be done before 9:30 am. First come, first serve. Limited to a maximum of 2 pounds per guest per visit. ",Laundry,,,,,25,,,,,,
recs9Wpz3snFfzVVO,Laundry (Overnight guests),,,Laundry available to overnight guests who have completed intake.,Laundry,,Overnight services,,,93,,"After Intake,LGBTQ+,Youth","Spanish,Mandarin",ID preferred but not immediately required,,"Ongoing, if working on getting ID"
rectXgvvTkHoPzycP,Legal Clinic,,recOjQn71FvFIn1CY,"Volunteer attorneys available on select Saturdays to assist our guests with legal services, including dealing with issues of housing and tenant rights to benefits and immigration",Legal,,,,,"114,115",,Everyone,,,,
recXuIVSRXxEDL9aY,Legal services,,receyEbTVLYnbAIVh,"Every second Saturday of the month only. Open Hands Legal Services provide free legal services and counseling to our guests. Available the second Saturday of every month, during the soup kitchen.",Legal,,,,,151,,Everyone,,,,
recPDTKf7NLLoL5Ie,Lunch,,recGQTSRE1KF9egNU,Free lunch for people who are homeless,Soup Kitchen,,,,,40,,,Spanish,,,
recDo53AV3Dferf1x,Lunch,,reckuFvar3hEeOngF,Free hot lunch,Soup Kitchen,,,,,12,,,,,,
recnokLUqAUx8Ex7E,Lunch,,recq3G9kKw4rcOYZe,Free hot lunch for clients of the organization,Soup Kitchen,,,,,78,,Client of the organization,Spanish,,,
recQxUYOaOpQ1jdBg,Lunch,,recqilX4P16x2hoSX,Free hot meal,Soup Kitchen,,,,,7,,,,,,
recMvfC4xVvuKP1sy,Lunch,(212) 777-9617,recUTiDcGzolOkyAJ,Free hot meal for women and children,Soup Kitchen,,,,,4,,Women,,,,
recFOsOfrHjhbewJl,Lunch Kitchen,,rec4lIFEER6wDrKDB,"Lunch served daily, except Friday. All are welcome.",Soup Kitchen,,,,,"123,124",,Everyone,,,,
rectbmFOenURfMm4B,Lunch Kitchen,,reciBhZFheNLlrzDY,Lunch available five days a week. All are welcome. Line and Lunch entrance at corner of W138th & Lenox Ave (Malcolm X Blvd). Accessible entrance at 540 Lenox Ave.,Soup Kitchen,,,,,128,,Everyone,,,,
recRcZcq9RTq1vsra,Mail,,rec0jo2Y61YT0fpy5,Transitional mailing address available to clients,Other services,,,,,73,,,Spanish,,,
recvMyjZuzLpthO3d,Mail,(917) 720-9715,recoyKfe64K15Ri43,"Clients can use this address to receive their mail.
A contract for mail services will need to be signed with Project Dignity",Other services,,,,,65,,,,Photo ID,,
recRImhT6EZmTgsKC,Mail,,recqilX4P16x2hoSX,Transitional mailing address available for clients,Other services,,,,,,,,,,,
rec0bBRSHnNveqaEX,Mail,,recUTiDcGzolOkyAJ,Transitional mailing address available for clients,Other services,,,,,4,,Women,Spanish,,,
rec4wJ4SwhWETNy0u,Meatloaf Kitchen,,recOjQn71FvFIn1CY,"Restaurant-style hot breakfast and meatloaf lunch every Saturday to anyone who needs sustenance. First come first serve for a seat. Social workers on hand offering help with welfare, substance abuse rehab, and finding shelter, healthcare, or employment.",Soup Kitchen,,,,,"114,115",,Everyone,,,,
recYnAbJtoofnyKkt,Medical Van,,,Providing primary care and referral services. No insurance required.,Health,,,,,,,Everyone,,,,
recltbLSdfhJJDMFq,MedVan,(212) 620-0340,rec5uveccPwi9eBPL,"Mobile van providing free primary care, regardless of insurance status. Offers physical checkups, vaccinations, HIV tests, basic medications, and treatment for common chronic conditions like diabetes, hypertension, and asthma. All uninsured patients can get assistance with the insurance enrollment process if desired.",Health,,,,,87,,Everyone,"Spanish,Creole",,,
recJ2PDwH9X4YfgoT,MedVan,(212) 620-0340,rec8t1ZyIzfwqgtjz,"Mobile van providing free primary care, regardless of insurance status. Offers physical checkups, vaccinations, HIV tests, basic medications, and treatment for common chronic conditions like diabetes, hypertension, and asthma. All uninsured patients can get assistance with the insurance enrollment process if desired.",Health,,,,,96,,Everyone,"Spanish,Creole",,,
recmAbJfXFa6cLrTz,MedVan,(212) 620-0340,recFavjGOafq9EUj2,"Mobile van providing free primary care, regardless of insurance status. Offers physical checkups, vaccinations, HIV tests, basic medications, and treatment for common chronic conditions like diabetes, hypertension, and asthma. All uninsured patients can get assistance with the insurance enrollment process if desired.",Health,,,,,"81,87",,Everyone,"Spanish,Creole",,,
recrVPb3CVtch9JiM,MedVan,,recjsj0FrHbX2Z5oG,"Mobile van providing free primary care, regardless of insurance status. Offers physical checkups, vaccinations, HIV tests, basic medications, and treatment for common chronic conditions like diabetes, hypertension, and asthma. All uninsured patients can get assistance with the insurance enrollment process if desired.",Health,,,,,100,,Everyone,"Spanish,Creole",,,
recZitVZFEdezx1kx,MedVan,,recMzEJZ4qNUdJxDc,"Mobile van providing free primary care, regardless of insurance status. Offers physical checkups, vaccinations, HIV tests, basic medications, and treatment for common chronic conditions like diabetes, hypertension, and asthma. All uninsured patients can get assistance with the insurance enrollment process if desired.",Health,,,,,99,,Everyone,"Spanish,Creole",,,
rec3AxPweDOvBRosE,MedVan,(212) 620-0340,recwW8i8fP4i9KVoa,"Mobile van providing free primary care, regardless of insurance status. Offers physical checkups, vaccinations, HIV tests, basic medications, and treatment for common chronic conditions like diabetes, hypertension, and asthma. All uninsured patients can get assistance with the insurance enrollment process if desired.",Health,,,,,101,,Everyone,"Spanish,Creole",,,
reclIgAEUH3tLN5yS,MedVan,(212) 620-0340,recYyJFY48lsyJfHt,"Mobile van providing free primary care, regardless of insurance status. Offers physical checkups, vaccinations, HIV tests, basic medications, and treatment for common chronic conditions like diabetes, hypertension, and asthma. All uninsured patients can get assistance with the insurance enrollment process if desired.",Health,,,,,"98,88",,Everyone,"Spanish,Creole",,,
rec6Smo6EbqmfuWXF,Men's overnight shelter,,recGdV0qKLaXQTYFg,12-bed overnight shelter. Light meal provided.,Shelter,,,,,139,,,,,,
recMtvcwDhU9AZINU,Mobile Soup Kitchen (MSK),,rec7A120pcpBUUAul,"Food truck providing hot meals and outreach services in Williamsburg, Coney Island, Brownsville, East New York, Woodside, and The Rockaways. Referrals and information available for assistance to housing, counseling, health services, detox/rehab, benefits, tax prep, job training, and immigration services.",Mobile Food Truck,,Meal Programs,,,108,,Everyone,Spanish,,,
