ID,address_1,city,postal_code,locations,description,address_type
recMbZtts2ce8mJ3S,"1290 Hoe Avenue, Ground Floor",The Bronx,10459,recgqNva4ggxtHD9J,Services available Th–Sa. Signup Tu-Sa.,physical_address
recMUWpsnvbAGPWI9,241 W 72nd St,,10023,recx6dxIW7fajJ4W0,,
recnfJek82cLizKZr,1157 Lexington Avenue,, 10075,rec6rmcoi4nS62zcO,,physical_address
recnfmMlTgVKcMais,921 Madison Ave,,10021,recGdV0qKLaXQTYFg,"btw 73rd and 74th Streets. Also, temp home for Urban Outreach Center Tues Community Dinner",physical_address
recnRv2Cc69T8X5Ff,865 Madison Ave,,10021,recrbc5Ub3d6qoKFh,At 71st St,physical_address
recnrVnmMgs2cYfGK,1746 Broadway,Brooklyn,11207,recSY23zKufKncM8R,Outside Wayside Baptist Church,mobile_service_stop
recNtEzhljezfmrAO, E 7th St & Avenue B,,10009,recvCp1ArOjkqkD9J,Southeast corner of Tompkins Sq park,physical_address
recondi7omXVTkL8j,W 20th St & Mermaid Ave,Brooklyn,11224,recWRzVZakmxpuaEl,"Stops@ corner of 20th St, outside the Library",mobile_service_stop
recP1nHB4yEY2Du8G,490 Riverside Drive,,10027,rec2LHRPcHIlB4m3c,,
recQeVghGOS0s0Tgz,200 Varick St,,10014,,Office location only,physical_address
recQgp19hwvRdqk2b,Eastern Pkwy & St Johns Pl,Brooklyn,11233,reccoz0c49iWLSHAC,Outside the Holy House of Prayer,mobile_service_stop
recqoOAPVGuXbRt9o,301 Grove St,Brooklyn,11237,rec9yUFct7fh5s5NZ,,
recqSkOIlEsP34GVH,Division Ave & Marcy Ave,Brooklyn,11211,recMF16BjQ6Cmv9aG,"Truck stops on Division near corner, outside Library",mobile_service_stop
recQUGb03a3PI96oA,321 W 125th St,,10027,recumQhND3CHLKJzi,Unmarked door. Buzz for entry.,
recsWjPGd3V0AXdTA,145 E 125th St,,10035,recKOqjdI2q6KkMnU,,
recT055pYtDakNHZ2,410 W 40th St,,10018,recd2YCN3sih3eR0O,Use entrance by Metro Baptist Church sign,physical_address
rectcCHhm7VdxKKN2,409 W 40th St,,10018,recBzIHsF4gAQ4at5,,physical_address
rectKtDOyx5DxpnWy,344 E 146th St,The Bronx,10451,recroG8ogZoxpzaGo,,
recU4k6UrgRJdMPno,Starr St & Knickerbocker Ave,Brooklyn,11237,recl2O5LJMuBcJn8p,SW corner of Maria Hernandez Park,mobile_service_stop
recw9yg4goRKh4O7P,8 E 109th St,,10029,recoyKfe64K15Ri43,,physical_address
recwAJyYQfBzwUPZg,110 Schermerhorn Street,Brooklyn,11201,rec0Wzr68Z7tNkIEL,,physical_address
recwQreTncoo2inCJ,46 W 16th St,,10011,recSrRggjPGzzQcbq,"This is the clothing room entrance and Accessible entrance for Food services. East Gate, Church of St Francis Xavier.",physical_address
recXCBshYfJjdbS5Y,144 W 32nd St,, 10001,,Mailing address only,postal_address
recxplYtKutMV4k8m,2120 Fulton Street,Brooklyn,11233,rec2MHCmTnfsWHtsK,,
recXVuDSeYPBSFafm,213 West 82nd St,,10024,recYtN4Io4lL5gCkO,,physical_address
recyDZI2EPXox5s3R,48 W 39th St,,10018,recvwFXX2sXXFiUBh,,physical_address
reczkbZeHLLUgFeYz,371 Sixth Ave,,10014,recTlVAH9d0QBBuhK,,physical_address
recZKebbgiYc41eRM,145 E 125th St,,10035,,,
recZZW1KIE8jTw4i9,135 W 31st St,,10001,rec4DydDdSPlbWrKX,Breadline forms on the sidewalk,physical_address
